complaint_id,timestamp,text_length,gemini_risk_score,openai_risk_score,risk_score_difference,category_match,gemini_category,openai_category,both_high_risk,both_low_risk,gemini_red_flags,openai_red_flags,gemini_scam_type,openai_scam_type,gemini_financial_risk,openai_financial_risk
3139446,2025-12-04T14:01:03.836034,3012,0,85,85,False,Low,High,False,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Not Applicable', 'subcategory': 'Not Applicable'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Debt Collection Fraud'}","{'level': 'High', 'potential_loss': 'Unknown, likely substantial debt/financial harm', 'explanation': 'The victim is being subjected to potentially illegal debt collection practices and has experienced significant financial harm and deception.'}","{'level': 'High', 'potential_loss': 'Significant financial loss due to uncredited payments', 'explanation': 'Multiple lump sum payments and monthly payments not applied to loan account'}"
3194894,2025-12-04T14:01:12.507271,3015,95,85,10,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Payment Scams / Fake Seller Scams'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Payment Fraud'}","{'level': 'High', 'potential_loss': 'XXXX XXXX', 'explanation': 'The victim lost a significant amount of money from their checking account due to a fraudulent transaction.'}","{'level': 'High', 'potential_loss': 'Significant (exact amount not specified)', 'explanation': 'The victim lost money through a payment service not intended for goods/services, with no recourse for recovery.'}"
3604669,2025-12-04T14:01:23.261311,1707,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check / Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': ""{[AMOUNT]} (from the invoice payment) + cost of gift cards + potential loss from cashier's check if not recovered."", 'explanation': 'The victim lost money paid to the scammer and is now liable for the bounced check and any fees associated with it. The total loss includes the invoice payment and the cost of gift cards purchased.'}","{'level': 'Critical', 'potential_loss': 'Several thousand dollars', 'explanation': 'Victim deposited a fake check, made payments and purchases based on it, and is now liable for the funds.'}"
3613259,2025-12-04T14:01:31.760994,1706,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Phantom Debt Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Phantom Debt Collection'}","{'level': 'High', 'potential_loss': 'Variable, but could include coerced payments for a non-existent debt.', 'explanation': 'The scammer is attempting to extract money by threatening legal action for a debt that cannot be substantiated. If the victim falls for the pressure, they could lose money they do not owe.'}","{'level': 'High', 'potential_loss': 'Varies based on coerced payments', 'explanation': 'Victim is pressured to pay non-existent debts under threat of legal action.'}"
4035380,2025-12-04T14:01:41.242446,1618,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Job Offer with Fake Check'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': 'Unknown, but likely includes the amount of the fake check and potentially overdraft fees or other bank charges. The victim is also facing the loss of their unemployment funds to cover bank obligations.', 'explanation': 'The victim deposited a fraudulent check and was instructed to send money to a third party. They are now responsible for the bounced check and any associated fees, potentially leading to significant debt and loss of essential funds.'}","{'level': 'Critical', 'potential_loss': 'Varies depending on the check amount and subsequent payments', 'explanation': 'Victim deposited a fake check and used funds to pay a vendor, resulting in financial liability.'}"
4129988,2025-12-04T14:01:48.971826,919,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam with Money Mule Component'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': 'Amounts associated with disputed and paid transactions, plus any funds transferred by the victim.', 'explanation': 'The victim has incurred financial losses and is actively involved in disputes with their credit union and PayPal due to fraudulent transactions stemming from the scam. The total loss is not specified but involves multiple transactions.'}","{'level': 'High', 'potential_loss': 'Significant amounts related to fake checks', 'explanation': 'Victim was involved in a fake check scam, leading to potential financial loss.'}"
4208330,2025-12-04T14:01:59.100605,2549,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Advance-fee scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Insurance Policy'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': ""The victim has already lost a significant amount of money ('{[AMOUNT]}') and is trying to recover it. The scam involved a fraudulent insurance policy and a direct payment request.""}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'Victim has already lost money through a fraudulent transaction and no refund has been issued.'}"
4239683,2025-12-04T14:02:09.513550,2912,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check/Advance Fee Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'The victim transferred {[AMOUNT]} of their own money based on a fake check, and this money is unlikely to be recovered due to the account being closed.'}","{'level': 'Critical', 'potential_loss': ""Amount of cashier's check"", 'explanation': 'Victim used personal funds to cover equipment costs based on a fake check.'}"
4266841,2025-12-04T14:02:17.841109,2734,5,75,70,False,Low,High,False,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'None Identified', 'subcategory': 'None Identified'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scams'}","{'level': 'High', 'potential_loss': 'Hundreds of thousands of dollars (historical scam mention)', 'explanation': ""The complainant mentions being a 'VICTIM of some of the very best and earliest scams relating to jobs' in the past, where they 'lost hundreds of thousands of dollars'. This historical loss is significant. The current situation involves bank accounts being reviewed or closed, indicating potential financial disruption and loss if funds are frozen or accounts are permanently closed.""}","{'level': 'Critical', 'potential_loss': 'Hundreds of thousands of dollars', 'explanation': 'Victim has experienced significant financial loss due to fraudulent checks.'}"
4306165,2025-12-04T14:02:27.009332,1261,95,85,10,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Job Offer leading to Financial Loss'}","{'primary_category': 'Corporate Identity Theft', 'subcategory': 'Impersonation of Employee'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]} USD', 'explanation': 'The victim has already lost a significant amount of money ({[AMOUNT]} USD) due to the scam.'}","{'level': 'High', 'potential_loss': '{[AMOUNT]} USD', 'explanation': 'Victim has already lost a significant amount of money with no trace of the scammer.'}"
4306200,2025-12-04T14:02:34.471864,1294,95,90,5,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Money Mule Scam / Fake Job Scam'}","{'primary_category': 'Corporate Identity Theft', 'subcategory': 'Impersonation of Legitimate Company'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]} USD', 'explanation': 'The victim explicitly states they have lost {[AMOUNT]} USD in a fraudulent job scam and is attempting a recall, indicating a significant financial loss has already occurred or is at immediate risk.'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'Victim has already lost a significant amount of money due to fraudulent activity.'}"
4429479,2025-12-04T14:02:42.776256,1726,100,95,5,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check/Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'The victim deposited a fraudulent check and then sent funds to third parties for equipment and training, only for the original check to bounce, leaving the victim responsible for the transferred funds.'}","{'level': 'High', 'potential_loss': 'Amount of the bounced check and any additional funds paid out', 'explanation': 'Victim deposited a fraudulent check and paid out funds, likely resulting in financial loss.'}"
4516979,2025-12-04T14:02:54.703025,2240,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': 'Overdraft fees, the value of the money orders sent, and potential future fees or liabilities.', 'explanation': 'The victim experienced direct financial loss from overdraft fees and the value of the money orders sent. The bounced check could also lead to further bank charges or a negative banking history.'}","{'level': 'Critical', 'potential_loss': 'Varies depending on the amount of the fake check and overdraft fees', 'explanation': ""Victim's bank account was overdrawn due to a bounced check and money orders were sent.""}"
4553771,2025-12-04T14:03:14.400273,687,95,90,5,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check / Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scams'}","{'level': 'Critical', 'potential_loss': 'All deposited funds, including IRS payments and stimulus money, as well as any other incoming funds to the account.', 'explanation': ""The victim lost all their deposited funds, including essential government payments, and had their bank account frozen. The scammers absconded with all incoming funds to the victim's account.""}","{'level': 'Critical', 'potential_loss': 'All IRS payments and stimulus money', 'explanation': 'Victim lost significant funds due to the bank recouping the bounced check amount.'}"
4635636,2025-12-04T14:03:34.562806,714,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check/Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': 'Unspecified, but likely the full amount sent via money order and potentially overdraft fees from the bank.', 'explanation': 'The victim was instructed to deposit a fraudulent check and then send real money back, leading to a direct financial loss when the initial check bounced.'}","{'level': 'Critical', 'potential_loss': 'Unknown (depends on check amount and fees)', 'explanation': 'Victim deposited a fake check and was instructed to send money, leading to potential financial loss.'}"
4707982,2025-12-04T14:03:46.136777,591,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check/Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': 'Unknown (Amount lost is not specified, but bank account closure and inability to access funds indicate significant financial distress.)', 'explanation': 'The victim has suffered direct financial loss, had their bank account closed, and is blocked from opening new accounts, indicating severe financial repercussions.'}","{'level': 'Critical', 'potential_loss': 'Unknown, but includes blocked access to funds and potential legal issues', 'explanation': ""Victim's bank account was closed and access to funds was denied due to fraudulent check.""}"
5187241,2025-12-04T14:03:59.740195,910,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'The victim was instructed to deposit a fraudulent check and then send a portion of the funds to unknown parties, resulting in a significant financial loss that the bank could not fully recover.'}","{'level': 'Critical', 'potential_loss': 'Significant funds from personal bank account', 'explanation': 'Victim was instructed to deposit a fake check and send money, resulting in financial loss.'}"
5215412,2025-12-04T14:04:12.006430,451,95,90,5,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Job Offer'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'The victim has already sent a significant amount of money which they have been informed is not reversible.'}","{'level': 'High', 'potential_loss': '[AMOUNT]', 'explanation': 'Victim sent money to a scammer under the pretense of a job offer.'}"
5238372,2025-12-04T14:04:22.984932,897,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Placement/Staffing Scams'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'The victim was instructed to deposit fraudulent checks and forward funds, resulting in direct financial loss when the checks bounced. This is a classic money mule scam where the victim inadvertently facilitates financial fraud.'}","{'level': 'Critical', 'potential_loss': 'Unknown amount', 'explanation': 'Victim lost money due to bounced checks and forwarding funds.'}"
5310888,2025-12-04T14:04:50.404602,1565,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Cryptocurrency Scam'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT] x 3}', 'explanation': ""The victim was instructed to wire substantial amounts of money from their personal bank accounts to a third-party's Coinbase account, resulting in the complete loss of these funds. This is characteristic of money mule scams where victims unknowingly facilitate illegal transactions.""}","{'level': 'Critical', 'potential_loss': 'Significant amounts wired', 'explanation': 'Victim was instructed to wire money to a fraudulent account, resulting in loss of funds.'}"
5541457,2025-12-04T14:05:05.556808,3018,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': 'Significant (amount of the fraudulent check, bounced check fees, late fees, potential for further identity theft)', 'explanation': ""The victim lost the funds they transferred, incurred significant bank fees, and potentially faced damage to their credit due to the bounced mortgage payment. The scammer obtained funds directly from the victim's bank account through the bounced check.""}","{'level': 'Critical', 'potential_loss': 'Significant amounts transferred and additional fees incurred.', 'explanation': 'Victim transferred funds based on fraudulent checks, resulting in a negative account balance and additional fees.'}"
5632648,2025-12-04T14:05:15.797254,1373,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]} and {[AMOUNT]}', 'explanation': 'The victim lost a significant amount of money due to depositing fraudulent checks and making payments to scammers, further exacerbated by bank fees and the reversal of funds.'}","{'level': 'Critical', 'potential_loss': 'Significant financial loss due to fraudulent checks', 'explanation': 'Victim deposited fraudulent checks and made payments based on the availability of funds, resulting in a financial loss when checks were reversed.'}"
5668688,2025-12-04T14:05:27.059942,1925,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Job Offer / Payment Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Equipment Purchase'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'The victim lost a significant amount of money by sending funds for fake equipment purchases, and recovery is uncertain.'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'Victim transferred significant funds for supposed equipment purchase.'}"
5762283,2025-12-04T14:05:37.564952,3017,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check/Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': 'Unknown, but significant due to account charge-off', 'explanation': 'The victim is facing a charged-off bank account with an owed balance, indicating a direct financial loss resulting from the scam and subsequent bank actions. The actual funds lost through the fake check clearing are not fully detailed but are implied to be substantial.'}","{'level': 'High', 'potential_loss': 'Varies depending on check amount and bank fees', 'explanation': 'Victim is liable for the fake check amount and any associated bank fees.'}"
5788206,2025-12-04T14:05:47.192881,1066,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam / Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'The victim lost the full amount they sent out, and their bank account is now overdrawn due to the bad check bouncing.'}","{'level': 'Critical', 'potential_loss': 'Significant, as account is in the negatives', 'explanation': 'Victim was instructed to send money from a fake check, resulting in financial loss and negative account balance.'}"
5793778,2025-12-04T14:05:54.891843,513,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]} (initial fraudulent check amount) + resulting overdraft fees/account damage', 'explanation': 'The victim lost the amount they sent via Venmo and is now liable for the bounced check amount, likely incurring significant overdraft fees and potentially damaging their banking relationship.'}","{'level': 'High', 'potential_loss': 'Amount of the check', 'explanation': 'Victim was left with a negative balance after the check bounced and funds were transferred.'}"
5801649,2025-12-04T14:06:05.152759,3015,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check / Advance Fee Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]} + overdraft fees and potential legal issues if not resolved.', 'explanation': ""The victim lost the amount of the cashier's check and is now in a negative bank balance due to the fraudulent check. They are also at risk of further financial penalties from the bank.""}","{'level': 'Critical', 'potential_loss': ""Amount of the cashier's check"", 'explanation': ""Victim was left with a negative balance after depositing a counterfeit check and sending a cashier's check.""}"
5805173,2025-12-04T14:06:18.976354,650,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check / Money Mule Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scam'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]} (from the money sent)', 'explanation': ""The victim sent real money to the scammer after receiving a fake check. The bank's stance on covering the loss for the sent money puts the victim at significant financial risk.""}","{'level': 'Critical', 'potential_loss': 'Amount sent to third parties', 'explanation': 'Victim is liable for funds sent from their account due to fake check'}"
5819576,2025-12-04T14:06:26.554074,2027,95,95,0,True,High,High,True,False,"communication, financial, job_posting, hiring_process, work_activity","communication, financial, job_posting, hiring_process, work_activity","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Job Offer Scam'}","{'primary_category': 'Financial Mark Scams', 'subcategory': 'Fake Check Scams'}","{'level': 'Critical', 'potential_loss': '{[AMOUNT]}', 'explanation': 'The victim lost money directly to the scammers and subsequently had their bank account closed due to depositing a fraudulent check, potentially impacting their ability to conduct future financial transactions.'}","{'level': 'High', 'potential_loss': '{[AMOUNT]}', 'explanation': 'Victim transferred money upfront for training materials and received a fictitious check as reimbursement, leading to potential financial loss and bank account closure.'}"
